fecha,cod_prov,provincia,casos_nuevos,casos_acum,incidencia,positividad,recuperados,defun_nuevos,defun_acum,procesadas
2020-03-19,15,Monte Cristi,0.0,0.0,,,,0.0,0.0,
2020-03-19,29,Monte Plata,0.0,0.0,,,,0.0,0.0,
2020-03-19,16,Pedernales,0.0,0.0,,,,0.0,0.0,
2020-03-19,17,Peravia,0.0,0.0,,,,0.0,0.0,
2020-03-19,18,Puerto Plata,0.0,3.0,,,,0.0,0.0,
2020-03-19,20,Samaná,0.0,4.0,,,,0.0,0.0,
2020-03-19,21,San Cristóbal,0.0,0.0,,,,0.0,0.0,
2020-03-19,31,San José de Ocoa,0.0,0.0,,,,0.0,0.0,
2020-03-19,22,San Juan,0.0,1.0,,,,0.0,1.0,
2020-03-19,23,San Pedro de Macorís,0.0,1.0,,,,0.0,1.0,
2020-03-19,24,Sánchez Ramírez,0.0,0.0,,,,0.0,0.0,
2020-03-19,25,Santiago,0.0,3.0,,,,0.0,0.0,
2020-03-19,26,Santiago Rodríguez,0.0,0.0,,,,0.0,0.0,
2020-03-19,32,Santo Domingo,0.0,2.0,,,,0.0,0.0,
2020-03-19,27,Valverde,0.0,0.0,,,,0.0,0.0,
2020-03-20,2,Azua,2.0,2.0,,,,0.0,0.0,
2020-03-20,3,Baoruco,0.0,0.0,,,,0.0,0.0,
2020-03-20,4,Barahona,1.0,1.0,,,,0.0,0.0,
2020-03-20,5,Dajabón,0.0,0.0,,,,0.0,0.0,
2020-03-20,1,Distrito Nacional,37.0,51.0,,,,0.0,0.0,
2020-03-20,6,Duarte,2.0,4.0,,,,0.0,1.0,
2020-03-20,8,El Seibo,0.0,0.0,,,,0.0,0.0,
2020-03-20,7,Elías Piña,0.0,0.0,,,,0.0,0.0,
2020-03-20,9,Espaillat,1.0,1.0,,,,0.0,0.0,
2020-03-20,30,Hato Mayor,0.0,0.0,,,,0.0,0.0,
2020-03-20,19,Hermanas Mirabal,0.0,2.0,,,,0.0,0.0,
